ban_id,banned_item,reason
BAN_001,Casual high magic where mages erase logistics.,Breaks the prime rule.
BAN_002,Evil race design.,"Species must be political and biological peoples, not moral categories."
BAN_003,Elves as perfect forest angels.,"Nalari should have debt, law, power and contradictions."
BAN_004,Dwarves as only drunk miners.,"Kavari include engineers, lawyers, surgeons, accountants and city-builders."
BAN_005,Orcs as brainless raiders.,"Gharu raid when ecology and politics make it profitable, not by biology."
BAN_006,Chosen-one prophecy as the central engine.,The world should not wait for one protagonist.
BAN_007,Generic dark lord.,Keeps politics morally lazy.
BAN_008,Modern university-style magic school without class control and politics.,Institutions should feel medieval and coercive.
BAN_009,Kingdom of Light versus Empire of Darkness.,No clean good/evil geopolitical structure.
BAN_010,"Random Latin, over-apostrophe names or obvious Tolkien imitation.",Causes plastic fantasy naming.
BAN_011,"Magical resurrection, mass healing, teleport armies or infinite food.",Deletes logistics and mortality.
BAN_012,Clean utopian species.,"Every people needs crimes, tensions, debt and inequality."
BAN_013,Modern political language dropped directly into medieval cultures.,Breaks setting voice.
BAN_014,Fantasy species added without consequences.,"Any species must affect demography, law, diplomacy, military, religion and economy."
